,Brisbane Broncos,Canberra Raiders,Canterbury Bulldogs,Cronulla Sharks,Gold Coast Titans,Manly Sea Eagles,Melbourne Storm,New Zealand Warriors,Newcastle Knights,North QLD Cowboys,Parramatta Eels,Penrith Panthers,Redcliffe Dolphins,South Sydney Rabbitohs,St George Dragons,Sydney Roosters,Wests Tigers
0,2.0,9.0,15.0,8.0,13.0,12.0,4.0,3.0,5.0,6.0,7.0,1.0,14.0,10.0,16.0,11.0,17.0
1,2.0,6.0,15.0,5.0,14.0,8.0,4.0,3.0,7.0,11.0,10.0,1.0,12.0,9.0,16.0,13.0,17.0
2,2.0,5.0,16.0,7.0,13.0,12.0,4.0,3.0,6.0,9.0,8.0,1.0,14.0,10.0,15.0,11.0,17.0
3,2.0,10.0,16.0,7.0,14.0,11.0,5.0,3.0,4.0,9.0,8.0,1.0,13.0,6.0,15.0,12.0,17.0
4,1.0,10.0,15.0,5.0,13.0,11.0,4.0,3.0,8.0,7.0,9.0,2.0,14.0,6.0,16.0,12.0,17.0
5,2.0,9.0,15.0,8.0,13.0,11.0,4.0,3.0,5.0,7.0,12.0,1.0,14.0,6.0,16.0,10.0,17.0
6,1.0,7.0,15.0,9.0,14.0,13.0,4.0,3.0,8.0,11.0,6.0,2.0,10.0,5.0,16.0,12.0,17.0
7,2.0,10.0,15.0,5.0,14.0,11.0,6.0,3.0,7.0,9.0,8.0,1.0,12.0,4.0,16.0,13.0,17.0
8,1.0,6.0,15.0,5.0,14.0,11.0,4.0,3.0,7.0,10.0,9.0,2.0,12.0,8.0,16.0,13.0,17.0
9,2.0,9.0,15.0,7.0,13.0,12.0,4.0,3.0,5.0,8.0,10.0,1.0,14.0,6.0,16.0,11.0,17.0
10,2.0,5.0,14.0,7.0,15.0,11.0,3.0,4.0,10.0,8.0,12.0,1.0,13.0,6.0,16.0,9.0,17.0
11,2.0,10.0,15.0,7.0,12.0,11.0,4.0,3.0,6.0,9.0,8.0,1.0,14.0,5.0,16.0,13.0,17.0
12,2.0,10.0,15.0,5.0,14.0,11.0,4.0,3.0,7.0,9.0,8.0,1.0,12.0,6.0,16.0,13.0,17.0
13,2.0,8.0,16.0,6.0,13.0,11.0,5.0,3.0,9.0,7.0,12.0,1.0,14.0,4.0,15.0,10.0,17.0
14,2.0,9.0,16.0,7.0,14.0,11.0,4.0,3.0,5.0,8.0,10.0,1.0,12.0,6.0,15.0,13.0,17.0
15,2.0,5.0,15.0,8.0,12.0,10.0,7.0,3.0,6.0,11.0,9.0,1.0,14.0,4.0,16.0,13.0,17.0
16,2.0,6.0,15.0,5.0,13.0,11.0,4.0,3.0,8.0,10.0,12.0,1.0,14.0,9.0,16.0,7.0,17.0
17,1.0,8.0,15.0,7.0,13.0,12.0,5.0,3.0,4.0,6.0,9.0,2.0,14.0,10.0,16.0,11.0,17.0
18,2.0,8.0,15.0,6.0,14.0,9.0,4.0,3.0,11.0,7.0,10.0,1.0,13.0,5.0,16.0,12.0,17.0
19,1.0,10.0,15.0,7.0,14.0,12.0,4.0,3.0,6.0,9.0,8.0,2.0,11.0,5.0,16.0,13.0,17.0
20,2.0,13.0,15.0,5.0,14.0,7.0,4.0,3.0,6.0,10.0,9.0,1.0,11.0,8.0,16.0,12.0,17.0
21,2.0,5.0,16.0,8.0,13.0,10.0,4.0,3.0,6.0,9.0,11.0,1.0,14.0,7.0,15.0,12.0,17.0
22,2.0,7.0,15.0,5.0,14.0,11.0,4.0,3.0,8.0,10.0,9.0,1.0,13.0,6.0,16.0,12.0,17.0
23,2.0,5.0,15.0,4.0,13.0,10.0,8.0,3.0,6.0,11.0,7.0,1.0,14.0,9.0,16.0,12.0,17.0
24,1.0,10.0,15.0,5.0,13.0,6.0,4.0,3.0,12.0,7.0,8.0,2.0,14.0,9.0,16.0,11.0,17.0
25,2.0,7.0,15.0,5.0,14.0,12.0,4.0,3.0,8.0,11.0,9.0,1.0,10.0,6.0,16.0,13.0,17.0
26,2.0,4.0,14.0,6.0,15.0,12.0,7.0,3.0,5.0,10.0,9.0,1.0,13.0,8.0,16.0,11.0,17.0
27,2.0,5.0,15.0,11.0,13.0,8.0,4.0,3.0,7.0,12.0,10.0,1.0,14.0,9.0,16.0,6.0,17.0
28,2.0,7.0,15.0,6.0,14.0,12.0,4.0,3.0,9.0,8.0,10.0,1.0,13.0,5.0,16.0,11.0,17.0
29,1.0,8.0,15.0,5.0,13.0,11.0,4.0,3.0,10.0,7.0,9.0,2.0,14.0,6.0,16.0,12.0,17.0
30,1.0,6.0,15.0,5.0,14.0,9.0,4.0,3.0,8.0,11.0,12.0,2.0,13.0,10.0,16.0,7.0,17.0
31,1.0,9.0,15.0,5.0,14.0,11.0,6.0,3.0,7.0,10.0,8.0,2.0,12.0,4.0,17.0,13.0,16.0
32,3.0,6.0,15.0,7.0,13.0,10.0,4.0,2.0,5.0,9.0,11.0,1.0,12.0,8.0,16.0,14.0,17.0
33,1.0,10.0,15.0,7.0,13.0,11.0,4.0,3.0,6.0,8.0,9.0,2.0,14.0,5.0,17.0,12.0,16.0
34,2.0,11.0,15.0,6.0,14.0,12.0,4.0,3.0,5.0,8.0,13.0,1.0,9.0,7.0,16.0,10.0,17.0
35,1.0,11.0,14.0,6.0,15.0,12.0,5.0,3.0,4.0,7.0,8.0,2.0,13.0,9.0,16.0,10.0,17.0
36,2.0,6.0,15.0,3.0,14.0,11.0,5.0,4.0,8.0,10.0,9.0,1.0,13.0,7.0,16.0,12.0,17.0
37,2.0,8.0,15.0,5.0,14.0,12.0,4.0,3.0,9.0,10.0,6.0,1.0,13.0,7.0,16.0,11.0,17.0
38,2.0,7.0,15.0,5.0,14.0,10.0,4.0,3.0,8.0,9.0,11.0,1.0,12.0,6.0,16.0,13.0,17.0
39,2.0,5.0,15.0,4.0,14.0,13.0,7.0,3.0,6.0,10.0,9.0,1.0,12.0,8.0,16.0,11.0,17.0
40,1.0,10.0,15.0,4.0,14.0,11.0,5.0,3.0,8.0,9.0,7.0,2.0,13.0,6.0,16.0,12.0,17.0
41,2.0,6.0,15.0,4.0,13.0,11.0,5.0,3.0,7.0,10.0,9.0,1.0,12.0,8.0,16.0,14.0,17.0
42,1.0,10.0,16.0,9.0,13.0,8.0,4.0,3.0,6.0,5.0,11.0,2.0,14.0,7.0,15.0,12.0,17.0
43,2.0,9.0,15.0,5.0,14.0,10.0,4.0,3.0,6.0,7.0,11.0,1.0,13.0,12.0,16.0,8.0,17.0
44,2.0,8.0,15.0,6.0,14.0,10.0,4.0,3.0,5.0,12.0,7.0,1.0,13.0,11.0,16.0,9.0,17.0
45,2.0,8.0,14.0,7.0,15.0,11.0,4.0,3.0,5.0,9.0,12.0,1.0,13.0,6.0,16.0,10.0,17.0
46,2.0,9.0,15.0,6.0,13.0,10.0,4.0,3.0,5.0,11.0,8.0,1.0,12.0,7.0,16.0,14.0,17.0
47,2.0,11.0,15.0,7.0,14.0,10.0,4.0,3.0,9.0,8.0,6.0,1.0,13.0,5.0,16.0,12.0,17.0
48,1.0,8.0,15.0,6.0,13.0,12.0,4.0,3.0,9.0,7.0,10.0,2.0,14.0,5.0,16.0,11.0,17.0
49,2.0,10.0,15.0,8.0,13.0,12.0,4.0,3.0,5.0,9.0,7.0,1.0,14.0,6.0,16.0,11.0,17.0
50,2.0,9.0,15.0,7.0,13.0,10.0,3.0,4.0,5.0,8.0,11.0,1.0,14.0,6.0,17.0,12.0,16.0
51,2.0,10.0,15.0,4.0,13.0,11.0,5.0,3.0,6.0,9.0,8.0,1.0,14.0,7.0,16.0,12.0,17.0
52,2.0,10.0,15.0,7.0,13.0,11.0,4.0,3.0,6.0,9.0,8.0,1.0,14.0,5.0,16.0,12.0,17.0
53,2.0,8.0,16.0,5.0,14.0,9.0,6.0,3.0,7.0,11.0,10.0,1.0,12.0,4.0,15.0,13.0,17.0
54,2.0,6.0,14.0,4.0,15.0,12.0,5.0,3.0,9.0,8.0,7.0,1.0,13.0,10.0,16.0,11.0,17.0
55,2.0,9.0,15.0,7.0,13.0,12.0,4.0,3.0,11.0,5.0,10.0,1.0,14.0,6.0,16.0,8.0,17.0
56,3.0,7.0,15.0,4.0,13.0,12.0,5.0,2.0,8.0,6.0,10.0,1.0,14.0,9.0,16.0,11.0,17.0
57,2.0,6.0,16.0,4.0,13.0,7.0,5.0,3.0,10.0,9.0,11.0,1.0,14.0,8.0,15.0,12.0,17.0
58,2.0,8.0,15.0,6.0,13.0,11.0,5.0,3.0,4.0,9.0,12.0,1.0,14.0,7.0,16.0,10.0,17.0
